,Unnamed: 0,img_path,sentence,label,anger,disgust,fear,joy,neutral,sadness,surprise,cluster
0,0,00000713.png,Beautiful plants shows glory of Flowers,joy,0.0061465371400117,0.0084656504914164,0.0011660085292533,0.8780773878097534,0.082999862730503,0.0075687929056584,0.0155757339671254,1
9,9,00000617.png,Beautiful beetles are sitting on a daisy.,neutral,0.007600073236972,0.0579189583659172,0.0026874972973018,0.3330085575580597,0.574238121509552,0.0075817434117197,0.0169650018215179,1
10,10,00001450.png,Drone Over Lake in Michigan in Fall,neutral,0.0129760820418596,0.0114232748746871,0.036715917289257,0.0127884410321712,0.586296558380127,0.1358510702848434,0.2039486020803451,1
14,14,00001866.png,Pink sakura flowers with clear blue sky in the background. Blooming cherry tree. Beautiful floral background.,joy,0.006101245060563,0.0082248598337173,0.0012187202228233,0.6804513335227966,0.224881112575531,0.0190894436091184,0.0600332133471965,1
25,25,00001929.png,"The key of the cranes in flight, cloudy sky, 4K slomo",neutral,0.0407151244580745,0.0233178902417421,0.1661975234746933,0.0168521478772163,0.3591358959674835,0.2921281158924103,0.1016533300280571,1
26,26,00001503.png,"The pull away shot over a harvested field. Haystacks on the field. In the background, a forest belt and mountains in the distance.",fear,0.0513202436268329,0.1112032160162925,0.7053330540657043,0.005213372875005,0.0862306058406829,0.0149526977911591,0.0257468409836292,1
28,28,00000631.png,"child plays with a horse, original point of view",neutral,0.0079463692381978,0.0031189003493636,0.0010244821896776,0.1245966330170631,0.8045361638069153,0.0098001435399055,0.0489772446453571,1
31,31,00001550.png,4K timelapse the movement of clouds in the evening high in the mountains of the northern Caucasian snow-capped peaks,neutral,0.0465899854898452,0.0177326891571283,0.3239852786064148,0.0096835577860474,0.4584576487541199,0.0270382221788167,0.1165125370025634,1
33,33,00001858.png,"A small Common redpoll eating some Dwarf bitch leaves and leaving in an autumnal Riisitunturi National Park, Northern Finland",disgust,0.0627617239952087,0.8172996044158936,0.0306154247373342,0.0115930829197168,0.0456020906567573,0.0233109295368194,0.0088172396644949,1
44,44,00000601.png,rain in park with green plants nerium,neutral,0.0192596912384033,0.0054984083399176,0.0025146880652755,0.2919366359710693,0.4241624474525451,0.0429316759109497,0.2136964350938797,1
48,48,00000412.png,Small tree with remaining leaves encased in ice,neutral,0.1825820803642273,0.1551669090986251,0.0323298014700412,0.0099523942917585,0.4407714605331421,0.124672532081604,0.0545248165726661,1
53,53,00000460.png,"Kocaeli, Izmit / Turkey - November 17 2019 : boat at sunset",neutral,0.0364530161023139,0.0072306268848478,0.0736554339528083,0.0861605554819107,0.5461322665214539,0.1020117253065109,0.1483564227819442,1
55,55,00000615.png,The Iguazu falls,sadness,0.0616018623113632,0.0088240820914506,0.0479850620031356,0.0052738883532583,0.0862693265080452,0.7242474555969238,0.0657982751727104,1
57,57,00001905.png,bumblebees pollinate flowering green grass,neutral,0.0624752454459667,0.1151929572224617,0.0043350928463041,0.091129146516323,0.6884840130805969,0.0192170888185501,0.0191665403544902,1
63,63,00000724.png,Slow Motion Waves,neutral,0.01551846973598,0.0213933363556861,0.0213821940124034,0.0062677240930497,0.7818052768707275,0.027817003428936,0.1258159726858139,1
67,67,00001358.png,Automated line in the greenhouse for growing flowers. Conveyor in a flower greenhouse. Modern greenhouse,neutral,0.0254399850964546,0.3829110264778137,0.0066874730400741,0.0101307472214102,0.5159677267074585,0.0119231371209025,0.0469399355351924,1
68,68,00000325.png,a butterfly on a fallen leaf,disgust,0.1959860920906067,0.2252969592809677,0.0985504016280174,0.0387958846986293,0.1989784836769104,0.0919135510921478,0.1504786610603332,1
78,78,00001069.png,White rooster and Hen Bantam Chicken in natural surroundings.,joy,0.0047840233892202,0.0216735247522592,0.0029141835402697,0.5854586362838745,0.3660862147808075,0.0085593620315194,0.010524014942348,1
88,88,00001180.png,Ocean waves breaking on the shoreline of a sandy beach.,fear,0.0075966445729136,0.0176532380282878,0.9381852746009828,0.0035864538513123,0.0038088613655418,0.0128972232341766,0.0162722803652286,1
96,96,00000822.png,"The second largest species of chuckwalla, the Angel Island Chuckwalla (Sauromalus hispidus), basking on a rock on Isla Ángel de la Guarda (Angel Island) in the Sea of Cortez.",disgust,0.0130293294787406,0.8609960675239563,0.0741477310657501,0.0086181592196226,0.0280915983021259,0.0069585610181093,0.0081584583967924,1
99,99,00001998.png,MINNESOTA--1970's: One Person Walking Out Of Group Of Trees In Fall,neutral,0.0194015633314847,0.0309789311140775,0.0931116193532943,0.0133821498602628,0.6238847970962524,0.0475142039358615,0.1717267632484436,1
101,101,00001756.png,Small Green Lizard Bathing In Sunlight.,neutral,0.0096838241443037,0.1309354603290558,0.0090055605396628,0.0589036494493484,0.7194582223892212,0.0648833811283111,0.0071299793198704,1
107,107,00001876.png,boat standing on the pier at the river,fear,0.0184841845184564,0.0496329665184021,0.8293574452400208,0.011779393069446,0.0239056032150983,0.0168393142521381,0.0500010699033737,1
108,108,00001133.png,"The sun's rays shine through the green leaves of the trees, a close-up of the leaves.",neutral,0.023885978385806,0.0922964513301849,0.0021832115016877,0.3500817716121673,0.4722852706909179,0.0463468879461288,0.0129205211997032,1
109,109,00000459.png,Tree with green Leaves and sun light. Bottom view ,neutral,0.0551041774451732,0.1828020215034485,0.1153413131833076,0.0650927424430847,0.4613571166992187,0.0768075585365295,0.0434951484203338,1
111,111,00000711.png,Fishing boats in the harbor. Shipwreck on the beach. An old wrecked wooden boat near the shore with the beach.,fear,0.0447522662580013,0.250755250453949,0.434425950050354,0.0022054994478821,0.0463758036494255,0.1961113363504409,0.0253739804029464,1
116,116,00001765.png,"high angle shot of a rocky beach at cape pillar on the three capes track in tasmania, australia",fear,0.0967081040143966,0.0113742286339402,0.6262317299842834,0.026067953556776,0.1244309321045875,0.0325996167957782,0.0825873985886573,1
119,119,00001839.png,"Waterfall and Creek in St, Mary Falls, Glacier National Park Montana USA, Static View",neutral,0.0206115096807479,0.0072275511920452,0.0284293591976165,0.0101412013173103,0.7465122938156128,0.0616146549582481,0.1254634112119674,1
120,120,00001659.png,"Night time lapse aurora borealis, northern lights in horizon with clean sky, beautiful dancing ligh panoramic view.",neutral,0.0048649040982127,0.0031847909558564,0.0034285886213183,0.3703864812850952,0.5621788501739502,0.0234511978924274,0.032505128532648,1
125,125,00000408.png,"man laying on a hill in the clam desert, aerial fly over shot, Israel",fear,0.3039349615573883,0.0309182107448577,0.4094663262367248,0.0148134911432862,0.1121258065104484,0.0369941480457782,0.0917470157146453,1
127,127,00000515.png,Panorama of plowed land ready for sowing seeds,neutral,0.0628042444586753,0.0457926914095878,0.0935716778039932,0.1584572494029998,0.4117307960987091,0.0369573086500167,0.1906860470771789,1
128,128,00001303.png,Sunset at Tanah Lot temple. Bali island Indonesia.,joy,0.0024340848904103,0.0056078927591443,0.0064819911494851,0.4261421263217926,0.211245059967041,0.1607488393783569,0.187339961528778,1
129,129,00000596.png,The movement of clouds in the sky. Time Lapse.,neutral,0.0468349568545818,0.0266558565199375,0.0853711143136024,0.0059310267679393,0.7314727902412415,0.0196007955819368,0.084133468568325,1
130,130,00001862.png,Fishing boat moves through the water at sunset.,fear,0.0321062207221984,0.0383149869740009,0.7735981345176697,0.0123295541852712,0.0893701314926147,0.0426485277712345,0.0116324806585907,1
131,131,00000065.png,"Cherry and red color with a golden reversal Modern Shrub Rose Reine Sammut flowers in a garden in July 2021. Idea for postcards, greetings, invitations, posters, wedding and Birthday decoration",joy,0.0164136737585067,0.0085954023525118,0.0033370642922818,0.5626872777938843,0.2392370998859405,0.0093708392232656,0.1603585332632064,1
135,135,00000549.png,gorilla is relaxing in a tree,joy,0.0025115020107477,0.0020609176717698,0.000621139537543,0.8471850752830505,0.0955632477998733,0.0296113584190607,0.0224467981606721,1
147,147,00001318.png,Cute little duckling is coming into kind and carefull farmers' hands in slow motion,neutral,0.0194786768406629,0.0352164059877395,0.0032928560394793,0.1532310098409652,0.7780418395996094,0.0040966793894767,0.006642525549978,1
152,152,00001375.png,Sunset on the big lake in summer,sadness,0.0131227057427167,0.0082235066220164,0.0159179903566837,0.1321570426225662,0.1687583029270172,0.551902711391449,0.1099177151918411,1
159,159,00000278.png,Drone footage of the sunset over the ocean horizon with clouds in the bright sky.,neutral,0.0197925362735986,0.0518081858754158,0.081256628036499,0.3317349851131439,0.3625106513500213,0.0953119024634361,0.0575851202011108,1
169,169,00001573.png,"BUCHAREST, ROMANIA - SEPTEMBER 28, 2020: DJI Mavic Mini and rental Phantom 4 Pro drones on a wooden table with blue backlight. Slow motion",surprise,0.016451247036457,0.009563036262989,0.0207303743809461,0.0333489775657653,0.3823679983615875,0.0085195852443575,0.5290188193321228,1
170,170,00001288.png,"Mount Makmal, Qadisha Valley. Pan-right of Mount Makmal and the Cedars of God Forest. The mountain, part of the Mount Lebanon range is a ski resort.",neutral,0.0256944634020328,0.0220773089677095,0.1047056317329406,0.0473375432193279,0.7022717595100403,0.0308056026697158,0.0671076625585556,1
178,178,00001838.png,elephants,neutral,0.0042158574797213,0.0036536995321512,0.0023404790554195,0.0383597798645496,0.8356868624687195,0.0275234375149011,0.0882198587059974,1
179,179,00001777.png,close up of two migrating whales surface at julia pfeiffer burns state park along the california coast in big sur,anger,0.5066630840301514,0.0182728879153728,0.1394154280424118,0.0264916010200977,0.1538319289684295,0.1234994158148765,0.0318255983293056,1
180,180,00000963.png,ocean from above with boat passing by,fear,0.0209826398640871,0.0065363687463104,0.8279372453689575,0.0072237798012793,0.0557312928140163,0.0133928349241614,0.0681958198547363,1
182,182,00001084.png,4K uhd time lapse of heavy clouds running over point of view,neutral,0.017178900539875,0.0218547210097312,0.0425705797970294,0.0077259480021893,0.6774153709411621,0.0514767244458198,0.1817777603864669,1
188,188,00000128.png,1950s: Statues of three seagulls. Statue of owl. Statues of three white birds. Statue of seagull sitting on nest on hilltop. Raven sits on mountaintop.,neutral,0.0308881103992462,0.0798009857535362,0.0410988740622997,0.029653038829565,0.719634473323822,0.050173994153738,0.0487506054341793,1
192,192,00001751.png,"Red tractor turning the grass in the village of Villaescusa. Municipality of Valdeolea, Comarcas de Campoo-Los Valles. Cantabria, Spain, Europe",fear,0.0826145038008689,0.2696800529956817,0.3837893903255462,0.0278082378208637,0.1440012454986572,0.0383922904729843,0.0537142902612686,1
208,208,00000078.png,Sprinkler head of center pivot irrigation system sprays water against backdrop of newly planted field.,neutral,0.0300216451287269,0.0702757015824318,0.0051831468008458,0.0168821420520544,0.8393043875694275,0.0124170435592532,0.0259158890694379,1
